"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"3862","Sivaganga",17882,"IND",4066.34295809665,4.58918121701396,1476700.375,19488.22265625,43233.49609375,622.624328613281,7.06352142186415
"3933","Aden",32713,"YEM",749.183692094912,64.1207465852712,466036.25,139689.8125,11604.3056640625,5329.21142578125,2.59427916409999
"4022","Abidjan",14911,"CIV",1984.21612799922,303.861993446789,4621490.5,2403398.25,175933.4375,97693.640625,1.88468809400801
"4142","Chirakchi district",39777,"UZB",2848.35306351266,10.9674025281246,258958.8125,8430.8564453125,713.092041015625,194.384887695312,2.29726984757066
"4157","Toamasina I",19270,"MDG",244.137342632602,24.2111832001943,163760.78125,45844.44140625,5227.30419921875,1575.08190917969,0.844038960107109
"4184","Kagoma",28417,"UGA",396.30875489295,0.850088415081954,262340.15625,1455.99975585938,5901.85498046875,58.1615104675293,1.74911622558798
"4187","Nizamabad",17562,"IND",7907.89570208666,24.1467571862939,2739153.75,37050.8125,85134.65625,1609.92919921875,9.50952003306124
"4298","Raigarh",17777,"IND",7010.69114298716,72.4453111222827,2516868.75,138158.6875,58183.03515625,5914.46630859375,8.84616174966368
"4331","Bareilly",17897,"IND",3783.29102824406,134.5644681702,3819795.5,350220.03125,123135.8203125,14266.2294921875,8.25410898432203
"4355","Jabalpur",17730,"IND",4011.66560394631,281.140351685197,2205515.75,549403.9375,75344.125,23099.732421875,8.58470765536939
"4358","Onitshan",22654,"NGA",75.2778582384136,33.7760066324637,354259.15625,147583.953125,14021.2568359375,6513.720703125,3.06842400504739
"4396","Saham",23588,"OMN",1469.78861215815,16.9518694571706,104316.703125,5821.49365234375,2369.03125,222.60758972168,27.679481959219
"4402","Mumbai Suburban",70183,"IND",375.80604822959,366.793994271091,9288003,9288003,336429.03125,336429.03125,6.68322466545436
"4444","Kasan district",39783,"UZB",1774.6057528054,22.5460585504174,218738.734375,16524.341796875,1634.48254394531,368.262756347656,2.29726984757066
"4541","Hyderabad",17553,"IND",178.018499875426,176.754772191703,3942566.25,3940080.75,150863.34375,150777.671875,7.44165684090415
"4548","Jessore",5797,"BGD",2516.51060372147,40.4981367044466,3189446.25,135429.75,103589.7578125,5825.00830078125,2.48147966953266
"4589","Bangkok Yai",26404,"THA",5.43430153756033,5.43430153756033,80729.171875,80729.171875,3156.72583007812,3156.72583007812,27.4538171793976
"4635","Muktsar",70234,"IND",2598.89416593046,22.0338637827256,981409.5625,36570.74609375,20003.484375,1584.60974121094,9.48359032169514
"4636","Bilaspur",70106,"IND",8339.26262328874,23.5666780138589,2265416.75,34040.93359375,68609.1484375,1529.99377441406,9.82715384842556
"4649","Nanded",17772,"IND",10588.398017078,120.31819007022,3241660.75,270650.90625,100648.7890625,11617.1787109375,8.46154350671519
