"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"16492","Chibombo",65174,"ZMB",13318.7168960123,15.3531593523094,256143.890625,13323.671875,5103.43798828125,586.704956054688,4.60001555851992
"16505","Chbar Mon",12319,"KHM",79.8399697513112,56.8263138593769,41323.046875,36758.671875,1414.36108398438,1300.927734375,2.09077402756964
"16524","Trujillo Alto Municipio",40048,"PRI",56.1505423684684,56.1505423684684,89661.859375,89661.859375,3490.61938476562,3490.61938476562,163.013616383045
"16548","Kumasi",16577,"GHA",184.823615200443,184.647207752797,1124430,1124086.75,46246.03515625,46233.1484375,3.64303674183544
"16567","Ede",22996,"NGA",323.967775583316,2.81523376408001,203560.8125,10748.6787109375,5274.00390625,357.606231689453,2.43215503818025
"16574","Kamrup",17583,"IND",4340.45334988181,358.400838255462,2593049.75,1216030.25,79655.8125,49810.36328125,7.51728424156572
"16582","Kuala Muda",37348,"MYS",908.803170066027,25.3097433113951,455713.375,30606.068359375,16271.4404296875,1329.892578125,48.7106450710356
"16603","Administrative unit not available",70040,"IND",4091.63680205462,22.2635976784626,70377.953125,4835.544921875,1067.45336914062,106.902252197266,4.58078918492073
"16614","Kuala Terengganu",37467,"MYS",608.807589203734,61.7269593003257,290271.375,121910.3984375,11110.1796875,5139.2373046875,43.9361485023103
"16620","Contagem",8076,"BRA",194.57045056603,128.920067584682,680102.875,560658.6875,25485.787109375,21649,7.13400754293902
"16623","Yamaltu/",22679,"NGA",2160.4764246269,9.40806574454198,366333.875,19488.5078125,10499.611328125,846.813171386719,3.08806199982022
"16631","Balaka",42174,"MWI",2133.09757906817,67.8562927262031,383349.40625,46849.859375,7679.36669921875,1697.40759277344,0.659403666153913
"16639","Micheweni",48462,"TZA",227.717345119132,8.23777916057028,78109.7109375,8640.765625,1825.43688964844,235.670959472656,0.760359597474949
"16674","Arraijan",23742,"PAN",137.669539604542,82.367241332592,135645.859375,124534.7578125,5167.82373046875,4747.47802734375,12.4688844816008
"16703","Name Unknown",13039,"CHN",15585.2107172363,184.897399972482,4271118,479903.375,93061.5703125,17641.08203125,18.4287317209422
"16712","Toa Alta Municipio",40046,"PRI",71.2677299217287,45.0897526997878,78392.1328125,56340.7109375,3168.57104492188,2346.09619140625,188.519209729483
"16727","Karnal",17660,"IND",2584.62562790363,324.137428051043,1505927.625,293120.8125,46051.00390625,12019.9697265625,8.25410898432202
"16740","Ratthewi",26427,"THA",6.76785983522229,6.76785983522229,116432.546875,116432.546875,4226.078125,4226.078125,23.4696138066537
"16758","Huambo",4266,"AGO",2890.94612560682,49.6283481154982,658329.375,266746.53125,18065.15625,7888.765625,4.58414862444977
"16774","Sangkae",12289,"KHM",1169.35668220996,85.3532010016652,166907.796875,89611.1171875,4595.56640625,3088.46142578125,2.09440722828477
"16789","Arghandab",1000135,"AFG",652.674737049064,44.1236268122732,162988.828125,64164.5625,1975.69787597656,1339.55932617188,1.22904924922319
"16790","Chahar Dara",1000096,"AFG",1241.06298723338,5.51698040118014,373651.25,7680.12744140625,1046.8564453125,156.322204589844,1.37131387625171
"16798","Ribeirao Das Neves",8507,"BRA",154.276070060949,57.2543992324998,288264.5625,167351.125,10648.70703125,6438.80615234375,7.13400754293902
"16807","Nahuizalco",15795,"SLV",63.7400638654181,4.52668558301815,34811.5546875,4062.48168945312,1209.62060546875,184.820373535156,4.50203400029782
"16816","Akhunbabayev district",39729,"UZB",375.624553055871,13.6480445536447,220485.3125,63058.2734375,1142.46130371094,640.989807128906,1.13459098932174
"16820","Mukingi",25196,"RWA",95.6591452349081,0.342629380067367,50070.21875,285.055389404297,340.352783203125,9.34469127655029,1.14693576236265
"16850","Kitwe",65183,"ZMB",880.831233285993,151.29698703409,399991.125,186110.390625,13300.490234375,7134.76416015625,3.74189302381629
